objectid ,title,filename,object_location,format,latitude,longitude,date,subject,location,description,source,language
001,Fotografía de Palazzo Veccio en Italia,001.pdf,ARCHIVO/001.pdf,pdf,43.769444,11.256111,,Palacio ,"P.za della Signoria, 50122 Firenze FI, Italia","Un palacio que data del año 1299, ubicado en la Plaza de la Señoría en Florencia, Italia en el que se encuentran oficinas del ayuntamiento.",Colección de postales de Manuel Campero,it
002,Fotografía de la Plazza dela Signoria en Italia,002.pdf,ARCHIVO/002.pdf,pdf,       43.769722,11.255556,,Plaza ,"P.za della Signoria50122 Firenze FI, Italia",La plaza central de Florencia en Italia. Es el lugar representativo de una Florencia medieval y se ha convertido en un centro de socialización.,Colección de postales de Manuel Campero,It
003,Fotografía del Ponte Vecchio visto desde el río Arno en Italia,003.pdf,ARCHIVO/003.pdf,pdf,        43.767989,11.253192,,Puente,"Ponte Vecchio, 50125 Firenze FI, Italia",Un puente inicialmente construido por los romanos que cruza el río Arno.,Colección de postales de Manuel Campero,It
004,Fotografía de una familia en una  plaza,004.pdf,ARCHIVO/004.pdf,pdf,,,,Plaza ,,Una familia de 7 integrantes frente a un edificio.,Colección de postales de Manuel Campero,It
005,"Fotografía del coro del monasterio ""Certosa di Pavia""",005.pdf,ARCHIVO/005.pdf,pdf,               45.257, 9.148278,,Coro,"27012 Certosa di Pavia, Province of Pavia, Italia","El monasterio ""Cartuja de Pavía, en la localidad de Pavia representa el gótico tardío italiano.",Colección de postales de Manuel Campero,It
006,"Fotografía de la ""Chiesa  del Santo"" en Italia ",006.pdf,ARCHIVO/006.pdf,pdf,         45.401362,11.880686,,Iglesia ,"Piazza del Santo, 11, 35123 Padova PD, Italia","La basílica del Santo Antonio de Padúa construida entre 1238 y 1310 es uno de los principales recintos religiosos católicos de Padúa. Además, es parte de un sitio patrimonio de la humanidad.",Colección de postales de Manuel Campero,It
007,Fotografía del interior de la bacílica de San Antonio de Padúa,007.pdf,ARCHIVO/007.pdf,pdf,         45.401363,11.880687,,Iglesia ,"Piazza del Santo, 12, 35123 Padova PD, Italia",El interior de la basílica más visitada de Padova.,Colección de postales de Manuel Campero,It
008,"Pintura ""Madonna col figlio"" de N. Parisani",008.pdf,ARCHIVO/008.pdf,pdf,,,,Retrato,Italia,"""Madonna col figlio"" se traduce al español directamente como ""virgen con niño"". La pintura fue realizada por Naopleone Parisani, un pintor italiano conocido. ",Colección de postales de Manuel Campero,It
009,"Fotografía de ""Napoli"" desde el mar (golfo de Nápoles)",009.pdf,ARCHIVO/009.pdf,pdf,40.735278,14.275278,,Ciudad de Nápoles,"Nápoles, Italia","Nápoles está ubicado al sur de Italia, y sus orillas conectan con parte del mar mediterráneo. Desde ahí se tomó la fotografía, en la que se observa la ciudad.",Colección de postales de Manuel Campero,It
010,"Fotografía de la Chiesa della Salute en Venecia, Italia",010.pdf,ARCHIVO/010.pdf,pdf,45.43068123579475,12.334817503880297,,Chiesa della Salute,"Dorsoduro, 1, 30123 Venezia VE, Italy",Exterior de la Basílica de Santa María de la Salud,Colección de postales de Manuel Campero,It
011,"Fotografía de la Ca´d'Oro en Venecia, Italia",011.pdf,ARCHIVO/011.pdf,pdf,45.44080737147946,12.333918909000435,,La Ca' d'Oro,"Calle Ca' d'Oro, 3934, 30121 Venezia VE, Italy",Vista desde el canal de la Ca' d'Oro,Colección de postales de Manuel Campero,It
012,"Fotografía de un gondolero en el Ponte de la Ferrovia en Verona, Italia",012.pdf,ARCHIVO/012.pdf,pdf,45.4764213045256,10.944461957768594,,Un gondolero ,"37139 Parona Province of Verona, Italy",Dos hombres en una góndola cerca del Ponte della Ferrovia,Colección de postales de Manuel Campero,It
013,"Fotografía panorámica de la ciudad de Venecia, Italia",013.pdf,ARCHIVO/013.pdf,pdf,45.448402121971235,12.313639928196766,,Venecia,"Venecia, Italia",Fotografía panorámica de Venecia.,Colección de postales de Manuel Campero,It
014,Fotografía del Coliseo en Roma,014.pdf,ARCHIVO/014.pdf,pdf,41.89017021890783,12.492499119489807,,Coliseo,"Piazza del Colosseo, 1, 00184 Roma RM, Italy",Fotografía frontal del Coliseo Romano,Colección de postales de Manuel Campero,It
